,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
71,250,LHS,True,0.25,2,23,2493.3187250996,0.1237050579,1641,0.1093548387
72,250,circle,True,0.1,1,24,2465.6015936255,0.2294647589,1887,0.2969230769
73,250,circle,True,0.1,2,25,2481.6533864542,0.3141486811,2085,0.3102884615
74,250,circle,True,0.125,1,26,2484.8007968128,0.2367223065,1977,0.271015625
75,250,circle,True,0.125,2,27,2491.7011952191,0.2267352185,1945,0.26640625
76,250,circle,True,0.1666666667,1,28,2490.7490039841,0.1116504854,1648,0.1786904762
77,250,circle,True,0.1666666667,2,29,2468.8804780877,0.1260188088,1595,0.1776785714
78,250,circle,True,0.25,1,30,2479.1115537849,0.0657030223,1522,0.1050793651
79,250,circle,True,0.25,2,31,2498.5856573705,0.0636777128,1539,0.120952381
80,400,LHS,True,0.1,1,32,2457.6558603491,0.4436909663,4129,0.317625
81,400,LHS,True,0.1,2,33,2488.2967581047,0.4269635429,4087,0.319875
82,400,LHS,True,0.125,1,34,2476.4463840399,0.3542435424,3523,0.25835
83,400,LHS,True,0.125,2,35,2471.927680798,0.3090960935,3507,0.2627
84,400,LHS,True,0.1666666667,1,36,2484.8603491272,0.2605985037,3208,0.1910227273
85,400,LHS,True,0.1666666667,2,37,2485.680798005,0.2228187919,2980,0.186780303
86,400,LHS,True,0.25,1,38,2487.1371571072,0.1614620298,2818,0.1106
87,400,LHS,True,0.25,2,39,2492.0274314215,0.1359397418,2788,0.126525
88,400,circle,True,0.1,1,40,2483.8329177057,0.2348558471,3087,0.32
89,400,circle,True,0.1,2,41,2478.2369077307,0.2525608195,3124,0.2750609756
90,400,circle,True,0.125,1,42,2485.2418952619,0.1581041968,2764,0.2428921569
91,400,circle,True,0.125,2,43,2492.5112219451,0.1546125461,2710,0.2260294118
92,400,circle,True,0.1666666667,1,44,2487.3466334165,0.1115765423,2626,0.1867537313
93,400,circle,True,0.1666666667,2,45,2493.5835411471,0.1194656489,2620,0.1897014925
94,400,circle,True,0.25,1,46,2490.5910224439,0.0757097792,2536,0.1243811881
95,400,circle,True,0.25,2,47,2497.0124688279,0.0730448591,2519,0.1309405941
,,,,,,,,,,
0,1,False,100,0.1,LHS,0,2231.1683168317,0.5467328371,1209,0.325
1,1,False,100,0.1,circle,1,2362.4653465347,0.3168567807,789,0.33
2,1,False,100,0.125,LHS,2,2269.0495049505,0.5084745763,1062,0.2370833333
3,1,False,100,0.125,circle,3,2412.1881188119,0.2379084967,765,0.2413461538
4,1,False,100,0.1666666667,LHS,4,2414.5841584159,0.3748680042,947,0.19671875
